tanggal,jenis,nama,kategori,nominal
2024-01-10,pemasukan,Pendapatan Royalti,lainnya,191855
2024-01-10,pemasukan,Pendapatan Royalti,lainnya,112593
2024-01-10,pemasukan,Penjualan Produk B,penjualan,308048
2024-01-10,pengeluaran,Biaya Promosi,pemasaran,107534
2024-01-10,pengeluaran,Pembelian Bahan Baku B,bahan baku,109708
2024-01-10,pemasukan,Penjualan Layanan Teknis,penjualan,113295
2024-01-10,pemasukan,Penjualan Produk A,penjualan,466485
2024-01-11,pengeluaran,Biaya Event,pemasaran,285854
2024-01-11,pengeluaran,Biaya Promosi,pemasaran,187611
2024-01-11,pemasukan,Penjualan Produk C,penjualan,481038
2024-01-11,pemasukan,Pendapatan Royalti,lainnya,138365
2024-01-11,pengeluaran,Biaya Asuransi,administrasi,199474
2024-01-11,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,193433
2024-01-11,pemasukan,Penjualan Produk C,penjualan,440504
2024-01-11,pemasukan,Pendapatan Komisi,lainnya,113933
2024-01-11,pemasukan,Penjualan Jasa Konsultasi,penjualan,252967
2024-01-11,pemasukan,Pendapatan Royalti,lainnya,174224
2024-01-11,pengeluaran,Biaya Air,operasional,111776
2024-01-11,pemasukan,Pendapatan Royalti,lainnya,124156
2024-01-11,pemasukan,Pendapatan Sewa,lainnya,104102
2024-01-11,pemasukan,Pendapatan Royalti,lainnya,106247
2024-01-11,pemasukan,Pendapatan Komisi,lainnya,199268
2024-01-11,pemasukan,Pendapatan Sewa,lainnya,179625
2024-01-11,pengeluaran,Biaya Administrasi,administrasi,101972
2024-01-12,pemasukan,Pendapatan Komisi,lainnya,107966
2024-01-12,pengeluaran,Biaya Administrasi,administrasi,120210
2024-01-12,pemasukan,Pendapatan Royalti,lainnya,106651
2024-01-12,pemasukan,Penjualan Jasa Konsultasi,penjualan,348315
2024-01-12,pemasukan,Penjualan Produk B,penjualan,124662
2024-01-12,pengeluaran,Biaya Cetak Brosur,pemasaran,225720
2024-01-12,pengeluaran,Pembelian Komponen C,bahan baku,108110
2024-01-12,pemasukan,Penjualan Produk B,penjualan,73900
2024-01-12,pengeluaran,Biaya Listrik,operasional,126148
2024-01-12,pengeluaran,Biaya Asuransi,administrasi,185168
2024-01-12,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,144584
2024-01-12,pengeluaran,Biaya Promosi,pemasaran,149785
2024-01-12,pengeluaran,Biaya Digital Marketing,pemasaran,129113
2024-01-12,pemasukan,Penjualan Produk C,penjualan,55956
2024-01-12,pengeluaran,Biaya Internet,operasional,141975
2024-01-12,pengeluaran,Biaya Cetak Brosur,pemasaran,219202
2024-01-12,pemasukan,Pendapatan Sewa,lainnya,143689
2024-01-12,pengeluaran,Biaya Administrasi,administrasi,107853
2024-01-12,pengeluaran,Biaya Transportasi,operasional,101224
2024-01-12,pengeluaran,Pembelian Komponen C,bahan baku,152482
2024-01-12,pemasukan,Penjualan Layanan Teknis,penjualan,191941
2024-01-12,pengeluaran,Pemeliharaan Gedung,pemeliharaan,281450
2024-01-12,pengeluaran,Biaya Telepon,operasional,109237
2024-01-13,pemasukan,Pendapatan Sewa,lainnya,112135
2024-01-13,pengeluaran,Biaya Digital Marketing,pemasaran,129460
2024-01-13,pengeluaran,Biaya Promosi,pemasaran,137509
2024-01-13,pengeluaran,Pembelian Material D,bahan baku,120255
2024-01-13,pengeluaran,Biaya Pajak,administrasi,159667
2024-01-13,pemasukan,Pendapatan Royalti,lainnya,166796
2024-01-13,pengeluaran,Biaya Iklan,pemasaran,260126
2024-01-13,pemasukan,Pendapatan Sewa,lainnya,114118
2024-01-13,pemasukan,Pendapatan Komisi,lainnya,103969
2024-01-13,pengeluaran,Pembelian Bahan Baku B,bahan baku,259988
2024-01-13,pengeluaran,Biaya Iklan,pemasaran,125836
2024-01-13,pemasukan,Pendapatan Sewa,lainnya,142665
2024-01-13,pemasukan,Pendapatan Komisi,lainnya,125481
2024-01-13,pemasukan,Penjualan Produk B,penjualan,198131
2024-01-13,pemasukan,Penjualan Produk B,penjualan,371325
2024-01-13,pemasukan,Pendapatan Royalti,lainnya,184130
2024-01-13,pengeluaran,Biaya Air,operasional,149876
2024-01-13,pemasukan,Penjualan Produk A,penjualan,149661
2024-01-13,pemasukan,Pendapatan Komisi,lainnya,146918
2024-01-13,pengeluaran,Biaya Administrasi,administrasi,93243
2024-01-13,pengeluaran,Biaya Event,pemasaran,221980
2024-01-13,pengeluaran,Pemeliharaan Gedung,pemeliharaan,117692
2024-01-14,pengeluaran,Biaya Internet,operasional,115412
2024-01-14,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,268354
2024-01-14,pengeluaran,Biaya Legal,administrasi,124975
2024-01-14,pemasukan,Penjualan Layanan Teknis,penjualan,398979
2024-01-14,pemasukan,Penjualan Jasa Konsultasi,penjualan,388834
2024-01-14,pemasukan,Penjualan Produk C,penjualan,177585
2024-01-14,pengeluaran,Pembelian Bahan Baku A,bahan baku,222824
2024-01-14,pemasukan,Penjualan Layanan Teknis,penjualan,185351
2024-01-14,pengeluaran,Biaya Pajak,administrasi,179311
2024-01-14,pemasukan,Pendapatan Royalti,lainnya,167605
2024-01-14,pemasukan,Pendapatan Royalti,lainnya,186918
2024-01-14,pengeluaran,Biaya Iklan,pemasaran,268747
2024-01-14,pemasukan,Pendapatan Royalti,lainnya,116953
2024-01-14,pengeluaran,Biaya Iklan,pemasaran,243886
2024-01-14,pemasukan,Pendapatan Komisi,lainnya,118065
2024-01-14,pemasukan,Pendapatan Komisi,lainnya,175799
2024-01-14,pemasukan,Pendapatan Sewa,lainnya,148014
2024-01-14,pengeluaran,Biaya Event,pemasaran,164363
2024-01-14,pengeluaran,Pemeliharaan Gedung,pemeliharaan,188345
2024-01-14,pemasukan,Penjualan Produk C,penjualan,199492
2024-01-14,pemasukan,Pendapatan Komisi,lainnya,117697
2024-01-14,pengeluaran,Biaya Telepon,operasional,135518
2024-01-15,pemasukan,Pendapatan Royalti,lainnya,169234
2024-01-15,pemasukan,Penjualan Produk C,penjualan,361251
2024-01-15,pengeluaran,Gaji Karyawan,operasional,122220
2024-01-15,pengeluaran,Pemeliharaan Gedung,pemeliharaan,279346
2024-01-15,pengeluaran,Pembelian Bahan Baku A,bahan baku,118984
2024-01-15,pengeluaran,Biaya Promosi,pemasaran,268472
2024-01-15,pengeluaran,Pembelian Bahan Baku B,bahan baku,211877
2024-01-15,pengeluaran,Pembelian Komponen C,bahan baku,275848
2024-01-15,pemasukan,Pendapatan Komisi,lainnya,120658
2024-01-15,pengeluaran,Biaya Promosi,pemasaran,250568
2024-01-15,pengeluaran,Pembelian Bahan Baku B,bahan baku,124255
2024-01-15,pengeluaran,Biaya Promosi,pemasaran,233892
2024-01-15,pengeluaran,Pemeliharaan Mesin,pemeliharaan,166526
2024-01-15,pemasukan,Penjualan Produk A,penjualan,475394
2024-01-15,pemasukan,Pendapatan Komisi,lainnya,123614
2024-01-15,pengeluaran,Pemeliharaan Gedung,pemeliharaan,216756
2024-01-15,pengeluaran,Biaya Digital Marketing,pemasaran,129826
2024-01-15,pengeluaran,Biaya Air,operasional,135056
2024-01-16,pengeluaran,Pembelian Bahan Baku B,bahan baku,217260
2024-01-16,pengeluaran,Biaya Administrasi,administrasi,109782
2024-01-16,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,230914
2024-01-16,pemasukan,Penjualan Produk A,penjualan,169272
2024-01-16,pemasukan,Penjualan Jasa Konsultasi,penjualan,102671
2024-01-16,pengeluaran,Pembelian Material D,bahan baku,273233
2024-01-16,pemasukan,Pendapatan Royalti,lainnya,126743
2024-01-16,pengeluaran,Biaya Telepon,operasional,116905
2024-01-16,pengeluaran,Pemeliharaan Gedung,pemeliharaan,159241
2024-01-16,pengeluaran,Biaya Asuransi,administrasi,161557
2024-01-16,pengeluaran,Gaji Karyawan,operasional,107353
2024-01-16,pemasukan,Pendapatan Royalti,lainnya,145522
2024-01-16,pemasukan,Penjualan Layanan Teknis,penjualan,215728
2024-01-16,pemasukan,Pendapatan Royalti,lainnya,178887
2024-01-16,pengeluaran,Biaya Pajak,administrasi,83750
2024-01-16,pengeluaran,Biaya Digital Marketing,pemasaran,270774
2024-01-16,pemasukan,Penjualan Produk B,penjualan,154466
2024-01-16,pemasukan,Penjualan Produk B,penjualan,430809
2024-01-16,pemasukan,Pendapatan Komisi,lainnya,191882
2024-01-16,pemasukan,Penjualan Produk A,penjualan,337151
2024-01-16,pengeluaran,Pembelian Material D,bahan baku,116473
2024-01-16,pemasukan,Penjualan Layanan Teknis,penjualan,259711
2024-01-16,pemasukan,Penjualan Layanan Teknis,penjualan,314593
2024-01-16,pengeluaran,Biaya Digital Marketing,pemasaran,248821
2024-01-16,pengeluaran,Biaya Administrasi,administrasi,179008
2024-01-17,pengeluaran,Biaya Asuransi,administrasi,74053
2024-01-17,pengeluaran,Biaya Telepon,operasional,146590
2024-01-17,pemasukan,Pendapatan Komisi,lainnya,126976
2024-01-17,pengeluaran,Biaya Pajak,administrasi,195436
2024-01-17,pengeluaran,Biaya Notaris,administrasi,184177
2024-01-17,pemasukan,Pendapatan Sewa,lainnya,151374
2024-01-17,pengeluaran,Pembelian Komponen C,bahan baku,180130
2024-01-17,pengeluaran,Biaya Administrasi,administrasi,168252
2024-01-17,pemasukan,Penjualan Produk C,penjualan,51135
2024-01-17,pemasukan,Penjualan Layanan Teknis,penjualan,243104
2024-01-17,pemasukan,Penjualan Layanan Teknis,penjualan,187180
2024-01-17,pemasukan,Penjualan Layanan Teknis,penjualan,276110
2024-01-17,pemasukan,Penjualan Produk B,penjualan,385170
2024-01-17,pengeluaran,Pembelian Bahan Baku B,bahan baku,234166
2024-01-17,pemasukan,Pendapatan Sewa,lainnya,133825
2024-01-18,pengeluaran,Biaya Administrasi,administrasi,151239
2024-01-18,pemasukan,Penjualan Layanan Teknis,penjualan,396068
2024-01-18,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,149756
2024-01-18,pengeluaran,Pemeliharaan Gedung,pemeliharaan,125676
2024-01-18,pengeluaran,Biaya Notaris,administrasi,110242
2024-01-18,pengeluaran,Pembelian Komponen C,bahan baku,198106
2024-01-18,pengeluaran,Biaya Air,operasional,140985
2024-01-18,pengeluaran,Biaya Pajak,administrasi,117958
2024-01-18,pemasukan,Penjualan Layanan Teknis,penjualan,135306
2024-01-18,pemasukan,Penjualan Produk B,penjualan,376149
2024-01-18,pemasukan,Pendapatan Komisi,lainnya,173814
2024-01-18,pengeluaran,Biaya Asuransi,administrasi,94292
2024-01-18,pemasukan,Penjualan Produk B,penjualan,428891
2024-01-18,pengeluaran,Biaya Notaris,administrasi,86673
2024-01-18,pengeluaran,Biaya Legal,administrasi,166440
2024-01-18,pemasukan,Penjualan Layanan Teknis,penjualan,324773
2024-01-18,pengeluaran,Pembelian Komponen C,bahan baku,193099
2024-01-18,pemasukan,Pendapatan Royalti,lainnya,197752
2024-01-18,pengeluaran,Biaya Listrik,operasional,109069
2024-01-18,pemasukan,Penjualan Jasa Konsultasi,penjualan,141122
2024-01-18,pemasukan,Penjualan Produk B,penjualan,476554
2024-01-18,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,268977
2024-01-19,pemasukan,Penjualan Produk A,penjualan,284083
2024-01-19,pengeluaran,Biaya Legal,administrasi,67892
2024-01-19,pengeluaran,Biaya Promosi,pemasaran,165688
2024-01-19,pemasukan,Pendapatan Sewa,lainnya,176521
2024-01-19,pemasukan,Penjualan Produk C,penjualan,302072
2024-01-19,pemasukan,Pendapatan Royalti,lainnya,140054
2024-01-19,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,103063
2024-01-19,pengeluaran,Biaya Asuransi,administrasi,141694
2024-01-19,pemasukan,Pendapatan Royalti,lainnya,138197
2024-01-19,pemasukan,Pendapatan Komisi,lainnya,130736
2024-01-19,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,211595
2024-01-19,pengeluaran,Biaya Cetak Brosur,pemasaran,211891
2024-01-19,pengeluaran,Pembelian Material D,bahan baku,265831
2024-01-19,pengeluaran,Pembelian Material D,bahan baku,207629
2024-01-19,pemasukan,Penjualan Produk A,penjualan,304125
2024-01-20,pemasukan,Penjualan Produk A,penjualan,341904
2024-01-20,pengeluaran,Biaya Listrik,operasional,138249
2024-01-20,pengeluaran,Biaya Telepon,operasional,146128
2024-01-20,pemasukan,Penjualan Produk C,penjualan,388887
2024-01-20,pemasukan,Penjualan Produk C,penjualan,207921
2024-01-20,pengeluaran,Biaya Pajak,administrasi,76923
2024-01-20,pengeluaran,Biaya Event,pemasaran,189354
2024-01-20,pemasukan,Pendapatan Royalti,lainnya,105932
2024-01-20,pengeluaran,Pembelian Bahan Baku B,bahan baku,278807
2024-01-20,pengeluaran,Pembelian Komponen C,bahan baku,123792
2024-01-20,pemasukan,Penjualan Layanan Teknis,penjualan,332065
2024-01-20,pemasukan,Pendapatan Sewa,lainnya,152669
2024-01-20,pengeluaran,Biaya Promosi,pemasaran,163638
2024-01-20,pengeluaran,Biaya Pajak,administrasi,151622
2024-01-20,pengeluaran,Biaya Asuransi,administrasi,162787
2024-01-20,pengeluaran,Biaya Listrik,operasional,105487
2024-01-20,pengeluaran,Pembelian Bahan Baku A,bahan baku,112491
2024-01-20,pengeluaran,Biaya Notaris,administrasi,114734
2024-01-20,pemasukan,Penjualan Produk B,penjualan,202950
2024-01-20,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,246080
2024-01-20,pemasukan,Pendapatan Royalti,lainnya,164969
2024-01-20,pemasukan,Pendapatan Sewa,lainnya,165680
2024-01-20,pengeluaran,Biaya Promosi,pemasaran,126717
2024-01-21,pemasukan,Pendapatan Komisi,lainnya,150981
2024-01-21,pemasukan,Pendapatan Sewa,lainnya,115000
2024-01-21,pemasukan,Pendapatan Royalti,lainnya,166784
2024-01-21,pengeluaran,Biaya Telepon,operasional,140066
2024-01-21,pengeluaran,Biaya Notaris,administrasi,196461
2024-01-21,pengeluaran,Biaya Legal,administrasi,169799
2024-01-21,pemasukan,Penjualan Produk C,penjualan,269672
2024-01-21,pemasukan,Pendapatan Sewa,lainnya,123009
2024-01-21,pengeluaran,Biaya Listrik,operasional,112759
2024-01-21,pemasukan,Penjualan Layanan Teknis,penjualan,179399
2024-01-21,pengeluaran,Biaya Asuransi,administrasi,51508
2024-01-21,pemasukan,Pendapatan Sewa,lainnya,165442
2024-01-21,pengeluaran,Biaya Notaris,administrasi,173412
2024-01-21,pemasukan,Pendapatan Royalti,lainnya,184590
2024-01-22,pemasukan,Penjualan Produk C,penjualan,196759
2024-01-22,pengeluaran,Biaya Promosi,pemasaran,143064
2024-01-22,pengeluaran,Biaya Legal,administrasi,87695
2024-01-22,pengeluaran,Biaya Event,pemasaran,139114
2024-01-22,pemasukan,Penjualan Produk B,penjualan,106248
2024-01-22,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,132986
2024-01-22,pemasukan,Pendapatan Sewa,lainnya,145065
2024-01-22,pemasukan,Pendapatan Sewa,lainnya,173745
2024-01-22,pemasukan,Pendapatan Komisi,lainnya,154119
2024-01-22,pengeluaran,Biaya Internet,operasional,110655
2024-01-22,pemasukan,Pendapatan Sewa,lainnya,153779
2024-01-22,pemasukan,Penjualan Produk B,penjualan,298873
2024-01-22,pemasukan,Pendapatan Royalti,lainnya,144350
2024-01-22,pengeluaran,Biaya Air,operasional,109289
2024-01-22,pemasukan,Pendapatan Komisi,lainnya,139436
2024-01-22,pengeluaran,Biaya Iklan,pemasaran,287034
2024-01-22,pemasukan,Penjualan Produk A,penjualan,87285
2024-01-22,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,252583
2024-01-23,pemasukan,Penjualan Layanan Teknis,penjualan,409744
2024-01-23,pemasukan,Pendapatan Komisi,lainnya,139825
2024-01-23,pemasukan,Pendapatan Sewa,lainnya,127100
2024-01-23,pemasukan,Penjualan Jasa Konsultasi,penjualan,426993
2024-01-23,pemasukan,Pendapatan Royalti,lainnya,170417
